Unnamed: 0,LocationID,Borough,zone,service_zone,latitude,longitude
0,1,EWR,Newark Airport,EWR,40.689488,-74.171526
1,2,Queens,Jamaica Bay,Boro Zone,40.610791,-73.82249
2,3,Bronx,Allerton,Boro Zone,40.865745,-73.844947
3,4,Manhattan,Alphabet City,Yellow Zone,40.724137,-73.977726
4,5,Staten Island,Arden Heights,Boro Zone,40.550665,-74.187537
5,6,Staten Island,Arrochar,Boro Zone,40.599047,-74.072564
6,7,Queens,Astoria,Boro Zone,40.761082,-73.920315
7,8,Queens,Astoria Park,Boro Zone,40.778626,-73.923122
8,9,Queens,Auburndale,Boro Zone,40.754328,-73.786491
9,10,Queens,Baisley Park,Boro Zone,40.678252,-73.788998
10,11,Brooklyn,Bath Beach,Boro Zone,40.604014,-74.00751
11,12,Manhattan,Battery Park,Yellow Zone,40.702497,-74.015726
12,13,Manhattan,Battery Park City,Yellow Zone,40.711535,-74.015892
13,14,Brooklyn,Bay Ridge,Boro Zone,40.623593,-74.02852
14,15,Queens,Bay Terrace,Boro Zone,40.784885,-73.785252
15,16,Queens,Bayside,Boro Zone,40.761221,-73.774739
16,17,Brooklyn,Bedford,Boro Zone,40.69178,-73.950686
17,18,Bronx,Bedford Park,Boro Zone,40.868679,-73.89127
18,19,Queens,Bellerose,Boro Zone,40.736743,-73.728582
19,20,Bronx,Belmont,Boro Zone,40.857742,-73.886196
20,21,Brooklyn,Bensonhurst East,Boro Zone,40.601995,-73.985857
21,22,Brooklyn,Bensonhurst West,Boro Zone,40.609681,-73.995072
22,23,Staten Island,Bloomfield,Boro Zone,40.607514,-74.160488
23,24,Manhattan,Bloomingdale,Yellow Zone,40.801916,-73.965522
24,25,Brooklyn,Boerum Hill,Boro Zone,40.685719,-73.986472
25,26,Brooklyn,Borough Park,Boro Zone,40.628602,-73.990127
26,27,Queens,Breezy Point,Boro Zone,40.558946,-73.901705
27,28,Queens,Briarwood,Boro Zone,40.710754,-73.808346
28,29,Brooklyn,Brighton Beach,Boro Zone,40.582514,-73.96062
29,30,Queens,Broad Channel,Boro Zone,40.604908,-73.824793
30,31,Bronx,Bronx Park,Boro Zone,40.860019,-73.8761
